city,main_location,second_location,map_address,country,start_date,max_numbers,more_one_day,numbers_source,image_url,icon_1,icon_2,icon_3
A Coruña,Plaza de Pontevedra,,"A Coruña,Plaza de Pontevedra,Spain",Spain,5/15/2011,5000,Yes,http://www.vtelevision.es/informativos/2011/10/15/0031_26_102972.htm,,capital_big_highlight,target,shaded_dot
Ahmedabad,,,"Ahmedabad,,India",India,October 21st,few 10s of people,No,,http://news.yahoo.com/photos/-rage-against-wall-street-power-clogs-sidewalks-1316463530-slideshow/activists-communist-socialist-unity-centre-india-suci-hold-photo-142110352.html,capital_big_highlight,target,shaded_dot
"Akron, OH",Cascade Plaza,,"Akron, OH,Cascade Plaza,United States",United States,10/15/2011,20,Yes,http://www.mediaite.com/online/occupy-grand-forks-occupy-scranton-occupy-wall-street-goes-nationwide/,http://in.news.yahoo.com/video/clevelandwews-20910953/occupy-akron-26958084.html#crsl=%252Fvideo%252Fclevelandwews-20910953%252Foccupy-akron-26958084.html,capital_big_highlight,target,shaded_dot
Amersfoort,Burgemeester Brouwerplantsoen,,"Amersfoort,Burgemeester Brouwerplantsoen,The Netherlands",The Netherlands,22 oktober 2011,83,Yes,https://www.facebook.com/lists/307668895912990#!/groups/265413156828578/,https://www.facebook.com/media/set/?set=a.301772439835969.84566.100000096450218&type=1&l=2ed141824a,capital_big_highlight,target,shaded_dot
"Anaheim, California",Chase Manhattan Bank,,"Anaheim, California,Chase Manhattan Bank,USA",USA,10/10/11,75,Yes,http://www.ocregister.com/articles/bank-321258-protestors-chase.html,,capital_big_highlight,target,shaded_dot
Antarctica,tundra,,"Antarctica,tundra,Antarctica",Antarctica,10/15/2011,7,Yes,http://www.washingtonpost.com/rf/image_606w/WashingtonPost/Content/Blogs/blogpost/201110/Images/occupyantarctica.jpg?uuid=36TvcvmSEeCvhYhGIVt8PQ,http://www.washingtonpost.com/rf/image_606w/WashingtonPost/Content/Blogs/blogpost/201110/Images/occupyantarctica.jpg?uuid=36TvcvmSEeCvhYhGIVt8PQ,capital_big_highlight,target,shaded_dot
Antartica,research station,,"Antartica,research station,Antartica",Antartica,10/15/2011,10/15/2011,Yes,http://www.neatorama.com/2011/10/18/occupy-antarctica/,http://uploads.neatorama.com/wp-content/uploads/2011/10/occupyantarctica-500x375.jpg,capital_big_highlight,target,shaded_dot
Appleton,College Ave.,,"Appleton,College Ave.,United States",United States,10/15/2011,200,Yes,http://www.postcrescent.com/apps/pbcs.dll/article?AID=2011110160636,http://www.postcrescent.com/apps/pbcs.dll/gallery?Avis=U0&Dato=20111015&Kategori=APC01&Lopenr=110150823&Ref=PH,capital_big_highlight,target,shaded_dot
arcata,humboldt state university,,"arcata,humboldt state university,usa",usa,1/10/11,100,Yes,http://www.facebook.com/pages/Occupy-Arcata/220016521390780,,capital_big_highlight,target,shaded_dot
Arcata,Plaza,university,"Arcata,Plaza,USA",USA,10/15/2011,not sure,Yes,http://www.facebook.com/pages/Occupy-Arcata/220016521390780,,capital_big_highlight,target,shaded_dot
"Arcata, California",Humboldt State U. Quad,Bank of America,"Arcata, California,Humboldt State U. Quad,USA",USA,11/10/11,100,Yes,http://www.arcataeye.com/2011/10/occupy-humboldt-matures-projects-protest-to-community-%E2%80%93-october-11-2011/,http://www.arcataeye.com/2011/10/occupy-humboldt-matures-projects-protest-to-community-%E2%80%93-october-11-2011/,capital_big_highlight,target,shaded_dot
Arnhem,Jansbinnensingel,,"Arnhem,Jansbinnensingel,The Netherlands",The Netherlands,10/29/11,25,Yes,http://www.facebook.com/groups/210611575674510/,,capital_big_highlight,target,shaded_dot
"arnold, MO",town square,,"arnold, MO,town square,USA",USA,10/23/2011,3500,Yes,www.godhatesfags.com,,capital_big_highlight,target,shaded_dot
